date,symbol,cluster
2022-01-21,BNB,0
2022-01-22,BNB,1
2022-01-23,BNB,0
2022-01-24,BNB,0
2022-01-25,BNB,0
2022-01-26,BNB,1
2022-01-27,BNB,0
2022-01-28,BNB,0
2022-01-29,BNB,0
2022-01-30,BNB,0
2022-01-31,BNB,1
2022-02-01,BNB,1
2022-02-02,BNB,1
2022-02-03,BNB,1
2022-02-04,BNB,1
2022-02-05,BNB,1
2022-02-06,BNB,1
2022-02-07,BNB,0
2022-02-08,BNB,0
2022-02-09,BNB,1
2022-02-10,BNB,0
2022-02-11,BNB,1
2022-02-12,BNB,0
2022-02-13,BNB,0
2022-02-14,BNB,0
2022-02-15,BNB,0
2022-02-16,BNB,1
2022-02-17,BNB,1
2022-02-18,BNB,0
2022-02-19,BNB,0
2022-02-20,BNB,0
2022-02-21,BNB,0
2022-02-22,BNB,1
2022-02-23,BNB,0
2022-02-24,BNB,0
2022-02-25,BNB,1
2022-02-26,BNB,1
2022-02-27,BNB,1
2022-02-28,BNB,1
2022-03-01,BNB,1
2022-03-02,BNB,0
2022-03-03,BNB,0
2022-03-04,BNB,0
2022-03-05,BNB,1
2022-03-06,BNB,0
2022-03-07,BNB,1
2022-03-08,BNB,1
2022-03-09,BNB,1
2022-03-10,BNB,0
2022-03-11,BNB,1
2022-03-12,BNB,1
2022-03-13,BNB,1
2022-03-14,BNB,1
2022-03-15,BNB,1
2022-03-16,BNB,0
2022-03-17,BNB,1
2022-03-18,BNB,1
2022-03-19,BNB,1
2022-03-20,BNB,1
2022-03-21,BNB,1
2022-03-22,BNB,1
2022-03-23,BNB,1
2022-03-24,BNB,1
2022-03-25,BNB,1
2022-03-26,BNB,1
2022-03-27,BNB,1
2022-03-28,BNB,1
2022-03-29,BNB,1
2022-03-30,BNB,1
2022-03-31,BNB,1
2022-04-01,BNB,1
2022-04-02,BNB,1
2022-04-03,BNB,1
2022-04-04,BNB,1
2022-04-05,BNB,1
2022-04-06,BNB,1
2022-04-07,BNB,1
2022-04-08,BNB,1
2022-04-09,BNB,1
2022-04-10,BNB,1
2022-04-11,BNB,1
2022-04-12,BNB,1
2022-04-13,BNB,1
2022-04-14,BNB,1
2022-04-15,BNB,1
2022-04-16,BNB,1
2022-04-17,BNB,1
2022-04-18,BNB,0
2022-04-19,BNB,1
2022-04-20,BNB,0
2022-04-21,BNB,1
2022-04-22,BNB,1
2022-04-23,BNB,1
2022-04-24,BNB,0
2022-04-25,BNB,0
2022-04-26,BNB,0
2022-04-27,BNB,1
2022-04-28,BNB,1
2022-04-29,BNB,0
2022-04-30,BNB,0
2022-05-01,BNB,0
2022-05-02,BNB,0
2022-05-03,BNB,1
2022-05-04,BNB,0
2022-05-05,BNB,1
2022-05-06,BNB,1
2022-05-07,BNB,1
2022-05-08,BNB,1
2022-05-09,BNB,1
2022-05-10,BNB,1
2022-05-11,BNB,1
2022-05-12,BNB,1
2022-05-13,BNB,1
2022-05-14,BNB,1
2022-05-15,BNB,1
2022-05-16,BNB,1
2022-05-17,BNB,0
2022-05-18,BNB,1
2022-05-19,BNB,1
2022-05-20,BNB,1
2022-05-21,BNB,1
2022-05-22,BNB,1
2022-05-23,BNB,1
2022-05-24,BNB,0
2022-05-25,BNB,1
2022-05-26,BNB,1
2022-05-27,BNB,1
2022-05-28,BNB,1
2022-05-29,BNB,1
2022-05-30,BNB,1
2022-05-31,BNB,1
2022-06-01,BNB,1
2022-06-02,BNB,1
2022-06-03,BNB,1
2022-06-04,BNB,1
2022-06-05,BNB,1
2022-06-06,BNB,1
2022-06-07,BNB,1
2022-06-08,BNB,1
2022-06-09,BNB,0
2022-06-10,BNB,1
2022-06-11,BNB,1
2022-06-12,BNB,1
2022-06-13,BNB,1
2022-06-14,BNB,1
2022-06-15,BNB,1
2022-06-16,BNB,1
2022-06-17,BNB,1
2022-06-18,BNB,1
2022-06-19,BNB,1
2022-06-20,BNB,0
2022-06-21,BNB,0
2022-06-22,BNB,0
2022-06-23,BNB,1
2022-06-24,BNB,0
2022-06-25,BNB,0
2022-06-26,BNB,0
2022-06-27,BNB,1
2022-06-28,BNB,0
2022-06-29,BNB,0
2022-06-30,BNB,1
2022-07-01,BNB,1
2022-07-02,BNB,0
2022-07-03,BNB,0
2022-07-04,BNB,1
2022-07-05,BNB,1
2022-07-06,BNB,1
2022-07-07,BNB,0
2022-07-08,BNB,1
2022-07-09,BNB,1
2022-07-10,BNB,1
2022-07-11,BNB,1
2022-07-12,BNB,1
2022-07-13,BNB,1
2022-07-14,BNB,1
2022-07-15,BNB,1
2022-07-16,BNB,1
2022-07-17,BNB,1
2022-07-18,BNB,1
2022-07-19,BNB,1
2022-07-20,BNB,1
2022-07-21,BNB,1
2022-07-22,BNB,1
2022-07-23,BNB,1
2022-07-24,BNB,1
2022-07-25,BNB,1
2022-07-26,BNB,1
2022-07-27,BNB,1
2022-07-28,BNB,1
2022-07-29,BNB,1
2022-07-30,BNB,1
2022-07-31,BNB,1
2022-08-01,BNB,1
2022-08-02,BNB,0
2022-08-03,BNB,1
2022-08-04,BNB,1
2022-08-05,BNB,1
2022-08-06,BNB,1
2022-08-07,BNB,0
2022-08-08,BNB,1
2022-08-09,BNB,1
2022-08-10,BNB,1
2022-08-11,BNB,1
2022-08-12,BNB,1
2022-08-13,BNB,1
2022-08-14,BNB,0
2022-08-15,BNB,1
2022-08-16,BNB,0
2022-08-17,BNB,0
2022-08-18,BNB,1
2022-08-19,BNB,1
2022-08-20,BNB,1
2022-08-21,BNB,1
2022-08-22,BNB,1
2022-08-23,BNB,1
2022-08-24,BNB,0
2022-08-25,BNB,1
2022-08-26,BNB,1
2022-08-27,BNB,1
2022-08-28,BNB,1
2022-08-29,BNB,1
2022-08-30,BNB,1
2022-08-31,BNB,1
2022-09-01,BNB,1
2022-09-02,BNB,1
2022-09-03,BNB,1
2022-09-04,BNB,1
